hospitalid,alarm_rate,n_hours
108,0.20133111480865223,601
439,0.0,487
424,0.0014347202295552368,697
122,0.37777777777777777,1800
381,0.006578947368421052,608
59,0.2662473794549266,477
227,0.09772727272727273,440
246,0.0,263
58,0.05263157894736842,418
452,0.0826271186440678,472
249,0.0,435
133,0.052715654952076675,626
73,0.009155645981688708,983
422,0.004932182490752158,811
56,0.0,706
429,0.05042016806722689,714
171,0.2627052384675528,1279
197,0.04875148632580262,841
440,0.0,271
92,0.3501896333754741,791
267,0.0,578
245,0.3484708063021316,1079
458,0.30612244897959184,1029
66,0.0036496350364963502,274
384,0.09945750452079566,553
350,0.6226591760299626,1068
407,0.34773445732349845,949
138,0.0,505
423,0.03537735849056604,424
125,0.22182680901542112,843
167,0.3392156862745098,1020
252,0.04518664047151277,509
60,0.0030075187969924814,665
217,0.03484995159728945,1033
283,0.17630597014925373,1072
301,0.3091684434968017,938
389,0.031201248049921998,641
360,0.0,492
68,0.0,394
164,0.09228441754916793,661
405,0.2599369085173502,1585
271,0.013924050632911392,790
356,0.1070154577883472,841
207,0.3157894736842105,722
300,0.02271062271062271,1365
425,0.012971698113207548,848
61,0.16044776119402984,268
394,0.07622504537205081,551
390,0.3959131545338442,783
248,0.0,504
179,0.13894736842105262,475
205,0.0,357
264,0.03529411764705882,510
204,0.0,995
174,0.0,403
352,0.4639344262295082,1220
411,0.0,651
71,0.062146892655367235,531
141,0.015789473684210527,570
209,0.4575971731448763,566
328,0.019367991845056064,981
268,0.32021466905187834,559
79,0.14977973568281938,454
279,0.04367816091954023,435
200,0.3679031037093111,1321
182,0.06588579795021962,683
201,0.0,626
67,0.012084592145015106,662
397,0.5687830687830688,756
224,0.1996630160067397,1187
262,0.0,373
183,0.07692307692307693,715
259,0.3028169014084507,994
181,0.44508670520231214,865
428,0.2506811989100817,734
251,0.0,381
318,0.022950819672131147,305
445,0.2288306451612903,992
387,0.19383259911894274,681
184,0.173974540311174,707
144,0.09951060358890701,613
69,0.14235500878734622,569
140,0.0036363636363636364,275
391,0.10926365795724466,421
146,0.17271589486858574,799
280,0.22190611664295876,703
365,0.002197802197802198,455
408,0.0,321
115,0.06303236797274275,587
342,0.04524886877828054,442
202,0.19278033794162827,1302
459,0.23160762942779292,734
449,0.1811320754716981,530
180,0.21678321678321677,858
155,0.4653397391901167,1457
388,0.39571263035921206,1726
243,0.1767497034400949,843
355,0.0019120458891013384,523
120,0.0,296
256,0.11756168359941944,689
95,0.011538461538461539,520
275,0.29221854304635764,1208
438,0.1624863685932388,917
303,0.1019786910197869,657
143,0.3641262509622787,1299
436,0.21610738255033557,745
412,0.0,333
281,0.05989847715736041,985
273,0.3370233702337023,1626
337,0.35,700
226,0.27845303867403315,905
399,0.07972665148063782,878
393,0.14074074074074075,405
83,0.4251012145748988,741
403,0.41375545851528384,916
110,0.07961165048543689,515
419,0.40451745379876797,487
400,0.4478951000690131,1449
195,0.19370078740157481,635
176,0.4336810730253353,671
215,0.09416581371545547,977
307,0.30851063829787234,658
435,0.09006622516556291,755
437,0.2762973352033661,713
433,0.36601796407185627,1336
253,0.15912208504801098,729
196,0.09230769230769231,520
392,0.29718599862731643,1457
443,0.4113345521023766,1641
269,0.021341463414634148,656
123,0.029850746268656716,1206
277,0.4076655052264808,1148
336,0.3221830985915493,568
244,0.15808170515097691,563
417,0.357429718875502,996
93,0.10861423220973783,267
416,0.35769828926905134,643
152,0.21416526138279932,593
208,0.2833078101071976,653
413,0.06159420289855073,552
220,0.016227180527383367,493
148,0.36766121270452357,1039
188,0.30011587485515645,863
131,0.33170504768550824,4299
266,0.24169184290030213,331
398,0.11370262390670553,1029
263,0.0,283
258,0.006738544474393531,742
357,0.12195121951219512,492
194,0.0,532
203,0.11497326203208556,374
157,0.406957928802589,1236
434,0.07509881422924901,506
63,0.22397094430992737,826
210,0.4026717557251908,1048
198,0.5777262180974478,1293
386,0.005,400
158,0.002793296089385475,358
444,0.005141388174807198,778
353,0.09564293304994687,941
358,0.008645533141210375,347
382,0.4560530679933665,1206
310,0.054514480408858604,1174
383,0.25925925925925924,513
282,0.17744154057771663,727
112,0.05508474576271186,472
272,0.0,471
254,0.09956076134699854,683
312,0.14323962516733602,747
338,0.3450520833333333,1536
345,0.16010165184243966,787
165,0.10038610038610038,777
199,0.4941594718131031,1969
154,0.1797752808988764,712
175,0.19861660079051383,1012
421,0.246684350132626,1131
420,0.3031161473087819,1059
364,0.026570048309178744,414
142,0.24126268320180383,887
250,0.12079207920792079,505
396,0.3649962602842184,1337
402,0.006906077348066298,724
331,0.11771561771561771,858
206,0.17882689556509299,699
363,0.0,296
404,0.11587485515643106,863
