hospitalid,alarm_rate,n_hours
389,0.12012480499219969,641
280,0.1934566145092461,703
328,0.109072375127421,981
437,0.26367461430575034,713
258,0.2560646900269542,742
392,0.24639670555936857,1457
58,0.09808612440191387,418
148,0.1395572666025024,1039
342,0.01583710407239819,442
175,0.14525691699604742,1012
268,0.24508050089445438,559
396,0.2572924457741212,1337
164,0.12254160363086233,661
318,0.12459016393442623,305
365,0.17582417582417584,455
158,0.0782122905027933,358
336,0.02464788732394366,568
92,0.18710493046776233,791
122,0.18722222222222223,1800
141,0.08596491228070176,570
254,0.2020497803806735,683
112,0.09957627118644068,472
83,0.26450742240215924,741
68,0.02030456852791878,394
452,0.1504237288135593,472
197,0.14387633769322236,841
120,0.05067567567567568,296
203,0.13368983957219252,374
227,0.1159090909090909,440
179,0.07368421052631578,475
386,0.1025,400
259,0.335010060362173,994
154,0.12780898876404495,712
250,0.06930693069306931,505
143,0.24634334103156275,1299
436,0.22416107382550335,745
155,0.19011667810569663,1457
263,0.04946996466431095,283
115,0.039182282793867124,587
195,0.14488188976377953,635
281,0.3116751269035533,985
93,0.12734082397003746,267
402,0.26243093922651933,724
445,0.23891129032258066,992
283,0.16324626865671643,1072
142,0.19052987598647125,887
165,0.16988416988416988,777
63,0.18038740920096852,826
79,0.10792951541850221,454
403,0.14737991266375547,916
300,0.2205128205128205,1365
248,0.08134920634920635,504
174,0.08684863523573201,403
171,0.2111024237685692,1279
199,0.36262061960385983,1969
303,0.2389649923896499,657
251,0.13123359580052493,381
388,0.2149478563151796,1726
59,0.09433962264150944,477
381,0.2450657894736842,608
202,0.3064516129032258,1302
67,0.11782477341389729,662
131,0.25471039776692256,4299
337,0.19714285714285715,700
71,0.10922787193973635,531
125,0.1423487544483986,843
364,0.13768115942028986,414
363,0.0777027027027027,296
210,0.30343511450381677,1048
226,0.24861878453038674,905
138,0.06732673267326733,505
205,0.022408963585434174,357
194,0.18233082706766918,532
345,0.2388818297331639,787
459,0.08583106267029973,734
253,0.11248285322359397,729
146,0.06382978723404255,799
269,0.27439024390243905,656
198,0.2111368909512761,1293
245,0.13160333642261354,1079
449,0.2509433962264151,530
167,0.20784313725490197,1020
201,0.20766773162939298,626
312,0.1606425702811245,747
407,0.285563751317176,949
277,0.32229965156794427,1148
411,0.1889400921658986,651
425,0.1721698113207547,848
56,0.18413597733711048,706
301,0.18550106609808104,938
123,0.08623548922056384,1206
220,0.15415821501014199,493
183,0.1034965034965035,715
435,0.2410596026490066,755
422,0.1504315659679408,811
266,0.1419939577039275,331
249,0.07126436781609195,435
208,0.17304747320061256,653
357,0.1910569105691057,492
264,0.12745098039215685,510
279,0.18620689655172415,435
95,0.04230769230769231,520
110,0.12233009708737864,515
217,0.19554695062923524,1033
419,0.188911704312115,487
66,0.05474452554744526,274
355,0.21032504780114722,523
358,0.08357348703170028,347
382,0.22139303482587064,1206
310,0.2010221465076661,1174
387,0.1527165932452276,681
428,0.22479564032697547,734
420,0.2190745986779981,1059
360,0.06504065040650407,492
256,0.19013062409288825,689
393,0.13580246913580246,405
384,0.14466546112115733,553
434,0.11462450592885376,506
416,0.17107309486780714,643
397,0.1931216931216931,756
157,0.19741100323624594,1236
412,0.0960960960960961,333
267,0.29930795847750863,578
181,0.16184971098265896,865
421,0.2926613616268789,1131
443,0.18890920170627665,1641
438,0.23555070883315157,917
405,0.3337539432176656,1585
207,0.05124653739612189,722
282,0.171939477303989,727
423,0.1721698113207547,424
224,0.12636899747262004,1187
206,0.21316165951359084,699
180,0.23543123543123542,858
200,0.303557910673732,1321
140,0.06545454545454546,275
108,0.15806988352745424,601
383,0.2982456140350877,513
182,0.1493411420204978,683
273,0.34809348093480935,1626
352,0.27704918032786885,1220
424,0.16212338593974174,697
60,0.07819548872180451,665
439,0.08624229979466119,487
404,0.15063731170336037,863
246,0.011406844106463879,263
272,0.07855626326963906,471
271,0.12278481012658228,790
356,0.28656361474435194,841
133,0.06389776357827476,626
350,0.2443820224719101,1068
433,0.2597305389221557,1336
275,0.23758278145695363,1208
73,0.24008138351983724,983
400,0.20082815734989648,1449
204,0.2271356783919598,995
196,0.175,520
188,0.22595596755504055,863
338,0.240234375,1536
176,0.28763040238450077,671
69,0.13181019332161686,569
391,0.15201900237529692,421
209,0.12897526501766785,566
394,0.22686025408348456,551
61,0.041044776119402986,268
429,0.13725490196078433,714
331,0.2529137529137529,858
444,0.12853470437017994,778
262,0.1742627345844504,373
353,0.17321997874601489,941
399,0.2357630979498861,878
398,0.17881438289601556,1029
408,0.040498442367601244,321
413,0.06159420289855073,552
307,0.1580547112462006,658
252,0.10019646365422397,509
215,0.19447287615148415,977
390,0.17879948914431673,783
152,0.13490725126475547,593
243,0.1423487544483986,843
244,0.22202486678507993,563
417,0.06526104417670683,996
144,0.21859706362153344,613
458,0.15257531584062195,1029
184,0.2842998585572843,707
440,0.0036900369003690036,271
