hospitalid,alarm_rate,n_hours
416,0.0,643
176,0.08345752608047691,671
280,0.0,703
248,0.0,504
66,0.0,274
438,0.0,917
437,0.004207573632538569,713
56,0.0,706
436,0.01476510067114094,745
391,0.0,421
435,0.0,755
417,0.11345381526104417,996
120,0.0,296
63,0.014527845036319613,826
425,0.0,848
182,0.06588579795021962,683
246,0.0,263
138,0.0,505
279,0.0,435
227,0.0,440
69,0.0,569
398,0.0,1029
108,0.056572379367720464,601
184,0.0,707
420,0.125590179414542,1059
268,0.03220035778175313,559
429,0.0,714
331,0.0,858
181,0.21734104046242775,865
392,0.0006863417982155113,1457
407,0.029504741833508957,949
179,0.19789473684210526,475
258,0.0,742
434,0.0,506
384,0.05244122965641953,553
383,0.09161793372319688,513
152,0.03709949409780776,593
381,0.003289473684210526,608
364,0.0,414
360,0.0,492
183,0.07132867132867132,715
71,0.009416195856873822,531
250,0.0,505
424,0.0,697
205,0.0,357
382,0.04892205638474295,1206
249,0.0,435
267,0.0,578
439,0.0,487
123,0.07545605306799337,1206
79,0.07268722466960352,454
122,0.03333333333333333,1800
140,0.0,275
68,0.0,394
226,0.023204419889502764,905
245,0.09731232622798888,1079
350,0.4747191011235955,1068
353,0.0,941
146,0.010012515644555695,799
402,0.0,724
204,0.0,995
142,0.09582863585118377,887
210,0.0868320610687023,1048
155,0.08098833218943034,1457
459,0.014986376021798364,734
393,0.024691358024691357,405
412,0.003003003003003003,333
387,0.011747430249632892,681
93,0.0,267
202,0.09600614439324116,1302
164,0.0030257186081694403,661
61,0.0,268
444,0.0,778
165,0.021879021879021878,777
419,0.27104722792607805,487
199,0.2254951752158456,1969
59,0.05450733752620545,477
259,0.04929577464788732,994
358,0.0,347
203,0.0,374
174,0.0,403
264,0.0,510
95,0.0,520
67,0.006042296072507553,662
188,0.2213209733487833,863
266,0.17220543806646527,331
196,0.023076923076923078,520
404,0.0,863
254,0.0,683
110,0.0,515
423,0.0,424
244,0.012433392539964476,563
167,0.05784313725490196,1020
198,0.37587006960556846,1293
243,0.0,843
355,0.015296367112810707,523
336,0.035211267605633804,568
157,0.1383495145631068,1236
301,0.0,938
337,0.037142857142857144,700
141,0.0,570
281,0.0,985
282,0.171939477303989,727
206,0.010014306151645207,699
342,0.0,442
386,0.0,400
400,0.37336093857832986,1449
413,0.0018115942028985507,552
310,0.0068143100511073255,1174
283,0.0,1072
60,0.0015037593984962407,665
200,0.0582891748675246,1321
171,0.028928850664581705,1279
275,0.12334437086092716,1208
92,0.18836915297092288,791
445,0.016129032258064516,992
209,0.2667844522968198,566
154,0.0351123595505618,712
303,0.0,657
458,0.05053449951409135,1029
452,0.0,472
328,0.0,981
312,0.0,747
357,0.04065040650406504,492
269,0.0,656
443,0.13589274832419257,1641
318,0.006557377049180328,305
411,0.0,651
112,0.01059322033898305,472
224,0.03622577927548441,1187
208,0.18529862174578868,653
408,0.0,321
253,0.012345679012345678,729
197,0.0,841
148,0.068334937439846,1039
421,0.010610079575596816,1131
433,0.47005988023952094,1336
449,0.0,530
277,0.024390243902439025,1148
352,0.3016393442622951,1220
158,0.0,358
399,0.018223234624145785,878
217,0.01936108422071636,1033
440,0.0,271
262,0.0,373
115,0.0017035775127768314,587
256,0.001451378809869376,689
83,0.002699055330634278,741
58,0.007177033492822967,418
143,0.33872209391839875,1299
251,0.0,381
133,0.0,626
405,0.15457413249211358,1585
73,0.0,983
271,0.024050632911392405,790
389,0.0109204368174727,641
273,0.023370233702337023,1626
345,0.0,787
338,0.119140625,1536
201,0.0,626
397,0.03306878306878307,756
403,0.0032751091703056767,916
125,0.05338078291814947,843
390,0.10600255427841634,783
263,0.0,283
180,0.009324009324009324,858
300,0.002197802197802198,1365
394,0.038112522686025406,551
220,0.0,493
131,0.15212840195394278,4299
144,0.04241435562805873,613
175,0.005928853754940711,1012
307,0.0364741641337386,658
252,0.0,509
194,0.0,532
363,0.0,296
207,0.004155124653739612,722
195,0.0015748031496062992,635
272,0.0,471
428,0.1226158038147139,734
396,0.26028421839940163,1337
356,0.0,841
365,0.035164835164835165,455
388,0.03244495944380069,1726
215,0.007164790174002047,977
422,0.0,811
