config,seed,test_auroc,external_auroc,gap
baseline,0,0.7263119637080708,0.6788934740285414,0.04741848967952944
baseline,1,0.7343075968708588,0.6617203128045082,0.07258728406635062
baseline,2,0.7498982735284433,0.6710517577977452,0.07884651573069812
baseline,3,0.7402689577513466,0.651426945774557,0.08884201197678965
baseline,4,0.7484910774283282,0.6741346860302333,0.07435639139809491
dropout03,0,0.7279905830811239,0.6969832747032615,0.031007308377862364
dropout03,1,0.7373905917427538,0.6804026595497978,0.05698793219295595
dropout03,2,0.7530858369022377,0.6675742233909555,0.08551161351128223
dropout03,3,0.7316502958218758,0.6506206010961504,0.08102969472572541
dropout03,4,0.7464631936873733,0.6637930308589411,0.0826701628284322
lr1e4_dropout02,0,0.7395814569504351,0.6873725398799033,0.05220891707053177
lr1e4_dropout02,1,0.7429212149330957,0.6737765079954802,0.06914470693761554
lr1e4_dropout02,2,0.7442813233316151,0.674092524996209,0.07018879833540614
lr1e4_dropout02,3,0.7460732087301515,0.6566282136470949,0.08944499508305659
lr1e4_dropout02,4,0.744498820351153,0.6268653766363181,0.11763344371483486
