config,seed,test_auroc,external_auroc,gap
baseline,0,0.7263119637080708,0.6788934740285414,0.04741848967952944
baseline,1,0.7343075968708588,0.6617203128045082,0.07258728406635062
baseline,2,0.7498982735284433,0.6710517577977452,0.07884651573069812
lr1e4,0,0.7382957047444516,0.6831003829099556,0.05519532183449605
lr1e4,1,0.7434064387110827,0.6624754543750806,0.0809309843360021
lr1e4,2,0.744055072537186,0.6785660148877226,0.06548905764946333
lr1e3,0,0.7281991173923428,0.6504298012016207,0.07776931619072203
lr1e3,1,0.7236453115488842,0.6503573324902301,0.07328797905865414
lr1e3,2,0.7456718502942918,0.6758426836216809,0.06982916667261096
dropout02,0,0.734780073031126,0.6840542404894342,0.05072583254169183
dropout02,1,0.733408588475335,0.6763093040974301,0.0570992843779049
dropout02,2,0.7458924089921347,0.6590359796838415,0.08685642930829318
dropout03,0,0.7279905830811239,0.6969832747032615,0.031007308377862364
dropout03,1,0.7373905917427538,0.6804026595497978,0.05698793219295595
dropout03,2,0.7530858369022377,0.6675742233909555,0.08551161351128223
wd1e4,0,0.7284312558236175,0.6823298211089783,0.04610143471463912
wd1e4,1,0.735107286886511,0.6446745670535731,0.09043271983293788
wd1e4,2,0.749332615738083,0.6724571513973135,0.07687546434076942
lr1e4_dropout02,0,0.7395814569504351,0.6873725398799033,0.05220891707053177
lr1e4_dropout02,1,0.7429212149330957,0.6737765079954802,0.06914470693761554
lr1e4_dropout02,2,0.7442813233316151,0.674092524996209,0.07018879833540614
