model,seed,test_auroc,external_auroc,gap
tinysepsis,0,0.7263119637080708,0.6788934740285414,0.04741848967952944
tinysepsis,1,0.7343075968708588,0.6617203128045082,0.07258728406635062
tinysepsis,2,0.7498982735284433,0.6710517577977452,0.07884651573069812
tinysepsis,3,0.7402689577513466,0.651426945774557,0.08884201197678965
tinysepsis,4,0.7484910774283282,0.6741346860302333,0.07435639139809491
attn,0,0.7429245766183736,0.6979268733675084,0.04499770325086527
attn,1,0.7426786941176476,0.6638379440536596,0.07884075006398805
attn,2,0.7429840422862399,0.6386032056737395,0.10438083661250042
attn,3,0.7434048074231667,0.6506152752161719,0.09278953220699482
attn,4,0.7542171471256911,0.6633406820802501,0.090876465045441
