model,seed,test_auroc,external_auroc,gap
tinysepsis,0,0.7263119637080708,0.6788934740285414,0.04741848967952944
tinysepsis,1,0.7343075968708588,0.6617203128045082,0.07258728406635062
tinysepsis,2,0.7498982735284433,0.6710517577977452,0.07884651573069812
tinysepsis,3,0.7402689577513466,0.651426945774557,0.08884201197678965
tinysepsis,4,0.7484910774283282,0.6741346860302333,0.07435639139809491
cde,0,0.6930055485003915,0.6477640619494907,0.04524148655090088
cde,1,0.6854188596640668,0.6533790293249139,0.03203983033915292
cde,2,0.678535215739943,0.6551961454998083,0.023339070240134707
cde,3,0.6825445598214119,0.6436801019357401,0.03886445788567183
cde,4,0.6895602496718031,0.6541159292190863,0.03544432045271673
