model,seed,test_auroc,external_auroc,gap
tinysepsis,0,0.7263119637080708,0.6788934740285414,0.04741848967952944
tinysepsis,1,0.7343075968708588,0.6617203128045082,0.07258728406635062
tinysepsis,2,0.7498982735284433,0.6710517577977452,0.07884651573069812
tinysepsis,3,0.7402689577513466,0.651426945774557,0.08884201197678965
tinysepsis,4,0.7484910774283282,0.6741346860302333,0.07435639139809491
dann,0,0.7328552738290074,0.6821873484448171,0.05066792538419029
dann,1,0.7441647331217256,0.685917588625108,0.05824714449661761
dann,2,0.7463536938208549,0.6563153685254914,0.09003832529536349
dann,3,0.7534867747926084,0.6659968023045264,0.08748997248808199
dann,4,0.7426516506319368,0.6738431248840295,0.0688085257479073
