model,seed,test_auroc,external_auroc,gap
tinysepsis,0,0.7263119637080708,0.6788934740285414,0.04741848967952944
tinysepsis,1,0.7343075968708588,0.6617203128045082,0.07258728406635062
tinysepsis,2,0.7498982735284433,0.6710517577977452,0.07884651573069812
tinysepsis,3,0.7402689577513466,0.651426945774557,0.08884201197678965
tinysepsis,4,0.7484910774283282,0.6741346860302333,0.07435639139809491
multihorizon,0,0.7552568373624913,0.6860130060158512,0.06924383134664003
multihorizon,1,0.7507393136123321,0.6790527691442413,0.07168654446809086
multihorizon,2,0.7456313011375278,0.6875208030948557,0.0581104980426721
multihorizon,3,0.7488364390269471,0.6615217399591646,0.08731469906778244
multihorizon,4,0.7473962662675031,0.6817161042257435,0.06568016204175964
