model,seed,test_auroc,external_auroc,gap
logreg,0,0.7700115365538567,0.6444741561444405,0.1255373804094162
xgboost,0,0.8066448014084555,0.6868844130121888,0.11976038839626668
lightgbm,0,0.7870874030886406,0.6607881967374943,0.12629920635114622
tinysepsis,0,0.7263119637080708,0.6788934740285414,0.04741848967952944
logreg,1,0.7700115365538567,0.6444741561444405,0.1255373804094162
xgboost,1,0.8051482996611937,0.6905100273063925,0.11463827235480117
lightgbm,1,0.782890026958198,0.6774929477946603,0.10539707916353769
tinysepsis,1,0.7343075968708588,0.6617203128045082,0.07258728406635062
logreg,2,0.7700115365538567,0.6444741561444405,0.1255373804094162
xgboost,2,0.8091606598841947,0.687041047142351,0.12211961274184369
lightgbm,2,0.787982131027531,0.6727847136354419,0.11519741739208911
tinysepsis,2,0.7498982735284433,0.6710517577977452,0.07884651573069812
logreg,3,0.7700115365538567,0.6444741561444405,0.1255373804094162
xgboost,3,0.8012777838064893,0.6855041624522464,0.11577362135424285
lightgbm,3,0.7844514882510197,0.6701891729994385,0.11426231525158126
tinysepsis,3,0.7402689577513466,0.651426945774557,0.08884201197678965
logreg,4,0.7700115365538567,0.6444741561444405,0.1255373804094162
xgboost,4,0.802517109933398,0.6811925921137303,0.12132451781966769
lightgbm,4,0.7856925876334298,0.6705706536646868,0.11512193396874293
tinysepsis,4,0.7484910774283282,0.6741346860302333,0.07435639139809491
